Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
4/10/2012,TOTAL,18.43,17.92,18.0,18.0,18,18.0,0.0,,18.0,380,
3/10/2012,TOTAL,18.43,17.92,18.0,18.0,18,18.0,0.0,,18.0,660,
2/10/2012,TOTAL,18.43,17.92,18.0,18.0,18,18.0,0.0,18.0,18.19,200,
1/10/2012,TOTAL,18.43,17.92,18.0,18.0,18,18.0,0.0,,18.0,40,
28/09/2012,TOTAL,18.43,17.92,18.18,18.18,18.18,18.0,-0.18,,18.0,660,
27/09/2012,TOTAL,18.43,17.92,18.18,18.18,18.18,18.18,0.0,18.0,18.18,0,
26/09/2012,TOTAL,18.43,17.92,18.18,18.18,18.18,18.18,0.0,,18.16,0,
25/09/2012,TOTAL,18.43,17.92,18.19,18.19,18.18,18.18,-0.01,,18.19,20,
24/09/2012,TOTAL,18.43,17.92,18.19,18.19,18.19,18.19,0.0,,18.19,0,
20/09/2012,TOTAL,18.43,17.92,18.2,18.2,18.19,18.19,-0.01,,18.19,120,
19/09/2012,TOTAL,18.43,17.92,18.2,18.2,18.2,18.2,0.0,,18.19,120,
18/09/2012,TOTAL,18.43,17.92,18.4,18.4,18.2,18.2,-0.2,,18.39,100,
17/09/2012,TOTAL,18.43,17.92,18.4,18.4,18.4,18.4,0.0,,18.4,0,
14/09/2012,TOTAL,18.43,17.92,18.4,18.4,18.4,18.4,0.0,,18.4,0,
13/09/2012,TOTAL,18.43,17.92,18.4,18.4,18.4,18.4,0.0,,,80,
12/9/2012,TOTAL,18.43,17.92,18.2,18.2,18.4,18.4,0.2,,18.4,50,
11/9/2012,TOTAL,18.43,17.92,18.2,18.2,18.2,18.2,0.0,,18.4,20,
10/9/2012,TOTAL,18.43,17.92,18.2,18.2,18.2,18.2,0.0,,18.4,0,
7/9/2012,TOTAL,18.43,17.92,18.4,18.4,18.2,18.2,-0.2,,18.4,100,
6/9/2012,TOTAL,18.43,17.92,18.4,18.4,18.4,18.4,0.0,18.2,18.39,110,
5/9/2012,TOTAL,18.43,17.92,18.4,18.4,18.4,18.4,0.0,,18.42,0,
4/9/2012,TOTAL,18.43,17.92,18.43,18.43,18.4,18.4,-0.03,18.2,18.42,"1,050.00",
3/9/2012,TOTAL,18.43,17.92,18.43,18.43,18.42,18.43,0.0,,18.42,0,
31/08/2012,TOTAL,18.43,17.92,18.42,18.42,18.43,18.43,0.01,,18.43,40,
30/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.2,18.42,0,
29/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.2,18.42,10,
28/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,,18.42,520,
27/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.2,18.42,120,
24/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.2,,"1,050.00",
23/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.42,,470,
22/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.42,,0,
21/08/2012,TOTAL,18.42,17.92,18.42,18.42,18.42,18.42,0.0,18.42,,0,
17/08/2012,TOTAL,18.42,17.92,18.41,18.41,18.42,18.42,0.01,,,400,
16/08/2012,TOTAL,18.41,17.92,18.39,18.39,18.39,18.41,0.02,18.41,19.0,670,
15/08/2012,TOTAL,18.39,17.92,18.32,18.32,18.4,18.39,0.07,18.4,18.9,200,
14/08/2012,TOTAL,18.35,17.92,18.21,18.21,18.35,18.32,0.11,18.35,18.9,400,
13/08/2012,TOTAL,18.21,17.92,18.17,18.17,18.23,18.21,0.04,18.23,19.43,250,
9/8/2012,TOTAL,27,17.92,18.17,18.17,18.17,18.17,0.0,18.3,19.0,0,
8/8/2012,TOTAL,27,17.92,18.12,18.12,18.17,18.17,0.05,18.17,19.0,520,
7/8/2012,TOTAL,27,17.92,18.08,18.08,18.12,18.12,0.04,18.13,19.43,"1,000.00",
6/8/2012,TOTAL,27,17.92,18.0,18.0,18.1,18.08,0.08,18.05,19.43,"1,200.00",
3/8/2012,TOTAL,27,17.92,18.0,18.0,18,18.0,0.0,18.0,19.43,"1,220.00",
2/8/2012,TOTAL,27,17.92,18.0,18.0,18,18.0,0.0,17.0,18.0,60,
1/8/2012,TOTAL,27,17.92,18.0,18.0,18,18.0,0.0,17.0,18.0,820,
31/07/2012,TOTAL,27,17.92,18.0,18.0,18,18.0,0.0,17.0,18.0,440,
30/07/2012,TOTAL,27,17.92,17.92,17.92,18,18.0,0.08,17.0,,310,
27/07/2012,TOTAL,27,17.92,18.0,18.0,17.95,17.92,-0.08,17.0,17.92,"1,760.00",
26/07/2012,TOTAL,27,19.3,18.0,18.0,18,18.0,0.0,17.0,18.0,0,
25/07/2012,TOTAL,27,19.3,18.0,18.0,18,18.0,0.0,17.0,18.0,0,
24/07/2012,TOTAL,27,19.3,18.0,18.0,18,18.0,0.0,17.0,18.0,0,
23/07/2012,TOTAL,27,19.3,18.0,18.0,18,18.0,0.0,17.0,18.0,20,
19/07/2012,TOTAL,27,19.3,18.01,18.01,18,18.0,-0.01,,18.0,150,
18/07/2012,TOTAL,27,19.3,18.01,18.01,18.01,18.01,0.0,,18.01,60,
17/07/2012,TOTAL,27,19.3,19.3,19.3,18,18.01,-1.29,,18.0,"2,060.00",
16/07/2012,TOTAL,27,19.3,19.3,19.3,19.3,19.3,0.0,18.0,19.3,0,
13/07/2012,TOTAL,27,19.3,19.4,19.4,19.3,19.3,-0.1,,19.3,70,
12/7/2012,TOTAL,27,19.4,19.4,19.4,19.4,19.4,0.0,,19.39,0,
11/7/2012,TOTAL,27,19.4,19.4,19.4,19.4,19.4,0.0,,19.4,20,
10/7/2012,TOTAL,27,19.4,19.4,19.4,19.4,19.4,0.0,,19.4,100,
9/7/2012,TOTAL,27,19.4,19.4,19.4,19.4,19.4,0.0,,19.42,20,
6/7/2012,TOTAL,27,19.4,19.43,19.43,19.4,19.4,-0.03,19.0,19.4,200,
5/7/2012,TOTAL,27,19.45,19.44,19.44,19.44,19.44,0.0,,19.44,10,
4/7/2012,TOTAL,27,19.45,19.43,19.43,19.43,19.43,0.0,19.0,19.44,0,
3/7/2012,TOTAL,27,19.45,19.44,19.43,19.43,19.43,0.0,,19.43,0,
29/06/2012,TOTAL,27,19.45,19.44,19.43,19.43,19.43,0.0,,19.43,0,
28/06/2012,TOTAL,27,19.45,19.44,19.44,19.44,19.43,-0.01,,19.44,10,
27/06/2012,TOTAL,27,19.45,19.44,19.44,19.44,19.44,0.0,,19.44,10,
26/06/2012,TOTAL,27,19.45,19.45,19.45,19.44,19.44,-0.01,,19.45,100,
25/06/2012,TOTAL,27,19.45,19.45,19.45,19.47,19.45,0.0,,19.45,0,
22/06/2012,TOTAL,27,19.45,19.45,19.45,19.47,19.45,0.0,,19.44,0,
21/06/2012,TOTAL,27,19.45,19.45,19.45,19.47,19.45,0.0,,19.44,0,
20/06/2012,TOTAL,27,19.45,19.45,19.45,19.47,19.45,0.0,,19.45,0,
19/06/2012,TOTAL,27,19.45,19.45,19.45,19.47,19.45,0.0,,19.47,0,
18/06/2012,TOTAL,27,19.45,19.47,19.47,19.47,19.45,-0.02,,19.46,560,
15/06/2012,TOTAL,27,19.47,19.47,19.47,19.47,19.47,0.0,19.0,19.47,10,
14/06/2012,TOTAL,27,19.47,19.47,19.47,19.46,19.47,0.0,,19.47,200,
13/06/2012,TOTAL,27,19.47,19.47,19.47,19.47,19.47,0.0,,19.47,0,
12/6/2012,TOTAL,27,19.47,19.47,19.47,19.47,19.47,0.0,,19.47,90,
11/6/2012,TOTAL,27,19.47,19.48,19.48,19.48,19.47,-0.01,,19.48,50,
8/6/2012,TOTAL,27,19.47,19.48,19.48,19.48,19.47,-0.01,,19.48,50,
7/6/2012,TOTAL,27,19.5,19.48,19.48,19.48,19.48,0.0,,19.48,"1,000.00",
